id,sentence,info_snippets,info_target,info_sentiment_score,info_aspects
26,FDA approves Shire's Vyvanse for binge-eating disorder,['FDA approves Shire's Vyvanse'],Shire,0.291,['Corporate/Regulatory']
27,Companies Thetrainline.com announces arrival of London IPO,['announces arrival of London IPO'],Thetrainline.com,0.245,['Stock/IPO']
28,Breakingviews: IAG can pay more for Aer Lingus,['IAG can pay more for Aer Lingus'],IAG,0.12,['Corporate/M&A/M&A']
29,Tesco share price jumps as Q3 sales top estimates,['share price jumps'],Tesco,0.719,['Stock/Price Action']
30,CRH's concrete bid for Holcim Lafarge assets,['concrete bid for Holcim Lafarge assets'],Holcim Lafarge,0.282,['Stock/Signal/Buy Signal']
31,Persimmon share price climbs on 23% rise in full-year revenue,['share price climbs on 23% rise'],Persimmon,0.975,['Stock/Price Action']
32,Ruling sets lower limit on potential fine for BP,['lower limit on potential fine for BP'],BP,-0.261,['Corporate/Legal']
33,Reed Elsevier share price slides on underwhelming full-year results,['share price slides'],Reed Elsevier,-0.526,['Stock/Price Action']
34,UPDATE 1-Meggitt reiterates annual outlook after tough 2014,['reiterates annual outlook after tough 2014'],Meggitt,0.021,['Stock/Fundamentals']
35,Slump in Weir leads FTSE down from record high,['down from record high'],Weir,-0.827,['Market/Volatility/Volatility']
36,Bunzl Lifts Dividend Again As Acquisitions Continue To Boost Profits,['Lifts Dividend Again As Acquisitions Continue To Boost Profit'],Bunzl,0.401,['Corporate/Dividend Policy/Dividend/Dividend going up']
37,REFILE-UPDATE 4-Britain's Lloyds to pay first dividend since rescue,['to pay first dividend since rescue'],Lloyds,0.522,['Corporate/Dividend Policy/Dividend']
38,GlaxoSmithKline set to complete $20 billion Novartis asset swap next week,['set to complete $20 billion Novartis asset swap next week'],Novartis,0.189,['Corporate/M&A']
39,Meggitt share price tumbles as profit falls in 'challenging year',['tumbles as profit falls in 'challenging year''],Meggitt,-0.854,['Stock/Price Action']
40,Analyst Views: Astrazeneca shares have seen recent volatility; what will 2015 ...,['shares have seen recent volatility'],Astrazeneca,-0.12,['Market/Volatility']
41,ARM Royalties Accelerate as Smartphone Market Regains Strength,['Smartphone Market Regains Strength'],ARM,0.571,['Market/Market']
42,ConAgra Names Former Hillshire Farms CEO Connolly to Top Post,['Farms CEO Connolly to Top Pos'],ConAgra,0.101,['Corporate/Appointment']
43,BG Group appoints new CEO one month early,['appoints new CEO'],BG Group,0.069,['Corporate/Appointment']
44,"Glencore Cuts 2015 Budget, Plans To Divest From Lonmin","['Cuts 2015 Budget, Plans To Divest From Lonmin']",Lonmin,-0.314,['Corporate/Strategy/Divestment']
45,U.S. Debt Lures Schroders as ECB Depresses Rates,['as ECB Depresses Rates'],Schroders,0.048,['Economy/Central Banks']
46,Tullow Oil Suspends Dividend Amid Oil Price Fall,['Suspends Dividend'],Tullow Oil,-0.498,['Corporate/Dividend Policy']
47,"Oil majors like Royal Dutch Shell, Chevron, BP fail to find reserves to counter ...",['fail to find reserves'],Royal Dutch Shell,-0.402,['Corporate/Risks']
48,Standard Chartered lags on capital worries,['lags on capital worries'],Standard Chartered,-0.358,['Corporate/Risks']
49,Standard Life share price: Insurer buys advice firm Pearson Jones,['Insurer buys advice firm Pearson Jones'],Standard Life,0.364,['Corporate/Strategy/Corporate Planning']
50,Tesco closes in on new chairman with Dixons Carphone's John Allan in the frame,['closes in on new chairman'],Dixons Carphone,0.129,['Corporate/Appointment']
51,Tesco closes in on new chairman with Dixons Carphone's John Allan in the frame,['new chairman with Dixons Carphone's'],Tesco,0.295,['Corporate/Appointment/Staff Hiring']
52,MillerCoors Delivers 2.9% Underlying Net Income Growth for 2014,['Delivers 2.9% Underlying Net Income Growth'],MillerCoors,0.495,['Stock/Fundamentals']
53,RBS will reportedly appoint Howard Davies as its next chairman,['reportedly appoint Howard Davies as its next chairman'],RBS,0.089,['Corporate/Appointment']
54,HSBC Hit by Fresh Details of Tax Evasion Claims,['Tax Evasion Claims'],HSBC,-0.594,['Corporate/Legal']
55,Relief for Lewis as Tesco sees sales grow for first time in a year,['sees sales grow'],Tesco,0.42,['Corporate/Sales']
56,Morrisons finance chief to fill gap as CEO leaves early,['fill gap as CEO leaves'],Morrisons,-0.114,['Corporate/Appointment']
57,"UPDATE: Persimmon Profit Up Strongly, Outlook Positive","['Profit Up Strongly, Outlook Positive']",Persimmon,0.937,['Stock/Fundamentals']
58,TRLPC - CRH backs Lafarge Holcim asset buy with 6.5 bln euro bridge loan,['CRH backs Lafarge Holcim asset buy'],Lafarge Holcim,0.365,['Corporate/Strategy/Share Buyback']
59,Tesco shareholders back ITV head for chairman,[' shareholders back ITV head for chairman'],Tesco,0.139,['Corporate/Appointment/Executive Appointment']
60,"Buffett's Berkshire builds Deere stake, dumps Exxon",['builds Deere stake '],Deere,0.316,['Stock/Signal/Buy Signal']
61,"Buffett's Berkshire builds Deere stake, dumps Exxon","['builds Deere stake, ']",Exxon,-0.548,['Stock/Signal/Buy Signal']
62,Aviva Fined $27 Million by U.K. Regulator Over Fee Failings,['Fined $27 Million by U.K. Regulator Over Fee Failings'],Aviva,-0.675,['Corporate/Regulatory']
63,AstraZeneca's patent on asthma drug invalidated by US court,['invalidated by US court'],AstraZeneca,-0.656,['Corporate/Legal']
64,Rolls-Royce to Ensure Compliance After Petrobras Bribery Report,['to Ensure Compliance After Petrobras Bribery Report'],Rolls-Royce,-0.075,['Corporate/Legal/Court Ruling']
65,Whitbread share price climbs on Q4 sales growth,['share price climbs'],Whitbread,0.513,['Stock/Price Action']
66,Warren Buffett defends Berkshire Hathaway's conglomerate structure,['defends Berkshire Hathaway's conglomerate structure'],Berkshire Hathaway,0.144,['Corporate/Company Communication']
67,G4S sees profits rise but UK contract problems remain,['contract problems remain'],G4S,0.252,['Corporate/Risks']
68,Friends Life lifts profits 38% and hikes divi ahead of proposed Aviva takeover,['lifts profits 38%'],Friends Life,0.387,['Corporate/Financial/Financial Results/Earnings']
69,Auto Trader share price surges as company floats on LSE,['share price surges'],Auto Trader,0.655,['Stock/Price Action']
70,New Credit Suisse boss faces stiff challenge in Asia,['boss faces stiff challenge'],Credit Suisse,-0.181,['Corporate/Risks']
71,"UPDATE: EasyJet Passenger Numbers, Aer Lingus Traffic Up In February",['Traffic Up'],Aer Lingus,0.284,['Corporate/Sales']
72,"UPDATE: EasyJet Passenger Numbers, Aer Lingus Traffic Up In February","['Passenger Numbers, Aer Lingus Traffic Up']",EasyJet,0.315,['Corporate/Sales']
73,Is It Worth Investing In Tesco PLC And Prudential plc Now?,['Investing In Tesco PLC And Prudential plc Now?'],Tesco PLC,0.161,['Corporate/Strategy/Investment']
74,UK WINNERS & LOSERS: Aviva And Friends Life Lead FTSE 100 Gainers,['FTSE 100 Gainers'],Friends Life,0.516,['Market/Market/Market Trend']
75,Sainsbury's says to outperform rivals in tough market,['in tough market'],Sainsbury,0.536,['Market/Market']
76,CompaniesKingfisher bid for Mr Bricolage runs into trouble,['bid for Mr Bricolage runs into trouble'],Mr Bricolage,-0.253,['Corporate/M&A/Proposed Merger']
77,UPDATE 3-Auto Trader shares leap in UK's biggest private equity-backed listing,['shares leap in UK's biggest private equity-backed listing'],Auto Trader,0.641,['Stock/IPO']
78,"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls",['drive markets higher'],Ashtead,0.514,['Market/Market']
79,"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls",['Taylor Wimpey and Ashtead drive markets higher'],Barclays,-0.657,['Market/Market/Market Trend']
80,"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls",['Taylor Wimpey and Ashtead drive markets higher'],Tailor Wimpey,0.508,['Market/Market/Market Trend']
81,GSK and Novartis complete deals to reshape both drugmakers,['complete deals to reshape both drugmakers'],Novartis,0.264,['Corporate/Strategy/Reorganization']
82,"Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger",['Life top forecasts ahead of 5.6 billion pound merger'],Friends Life,0.39,['Corporate/M&A/M&A']
83,Citigroup to Sell OneMain to Springleaf for $4.25 Billion,['to Sell OneMain to Springleaf for $4.25 Billion'],OneMain,0.283,['Corporate/M&A/M&A']
84,Citigroup to Sell OneMain to Springleaf for $4.26 Billion,['to Sell OneMain to Springleaf for $4.25 Billion'],Springleaf,0.225,['Corporate/M&A/M&A']
85,"U.K. Stocks Resume Gains to Rally to Record; CRH, Tullow Climb",['U.K. Stocks Resume Gains to Rally to Record;'],Tullow,0.544,['Stock/Price Action/Bullish/Bullish Behaviour']
86,British American Tobacco drops and sues PwC over pollution scandal,['British American Tobacco drops'],PwC,-0.437,['Stock/Price Action/Bearish/Bearish Behaviour']
87,UK's FTSE has worst day so far in 2015 as BG and Prudential fall,['UK's FTSE has worst day so far in 201'],Prudential,-0.651,['Market/Market/Market Trend']
88,"Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit",['in Total Recall: how pulling a product affects profit'],Cadbury's,-0.158,['Corporate/Rumors/Scoop']
89,"Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit",['in Total Recall: how pulling a product affects profit'],Kraft,-0.179,['Corporate/Rumors/Scoop']
90,How Kraft-Heinz Merger Came Together in Speedy 10 Weeks,['Merger Came Together in Speedy 10 Weeks'],Kraft,0.214,['Corporate/M&A/M&A']
91,AstraZeneca Teams With Daiichi Sankyo To Sell Movantik In US,['Teams With Daiichi Sankyo To Sell Movantik In US'],Daiichi Sankyo,0.364,['Corporate/Sales/Partnership']
92,AstraZeneca Teams With Daiichi Sankyo To Sell Movantik In US,['Teams With Daiichi Sankyo To Sell Movantik In US'],Movantik,0.369,['Corporate/Sales/Partnership']
93,RBI surprises Street; Sensex pares gains after hitting mount 30k,['Sensex pares gains'],Sensex,-0.216,['Stock/Price Action']
94,Credit Suisse poaches Prudential's Thiam for Asian push,['poaches Prudential's Thiam for Asian push'],Credit Suisse,0.125,['Corporate/Strategy']
95,Credit Suisse poaches Prudential's Thiam for Asian push,['poaches Prudential's Thiam for Asian push'],Prudential,-0.031,['Corporate/Strategy']
96,Kingfisher takeover of Mr Bricolage could hit a brick wall,['Kingfisher takeover of Mr Bricolage could hit a brick wall'],Mr Bricolage,-0.311,['Corporate/M&A/Proposed Merger']
97,"U.K. Stocks Little Changed Near Record as Barclays, Shell Fall","['Barclays, Shell Fall']",Shell,-0.508,['Stock/Price Action/Bearish/Bearish Behaviour']
98,Insurers: Admiral blows hot and cold but Aviva soars pre-Friends Life merger,['Admiral blows hot and cold'],Friends Life,0.053,['Stock/Price Action/Volatility/Stock Volatility']
99,AstraZeneca And Daiichi Sankyo To Jointly Commercialise MOVANTIK In The US,['AstraZeneca And Daiichi Sankyo To Jointly Commercialise MOVANTIK'],Daiichi Sankyo,0.361,['Corporate/Sales/Partnership']
100,AstraZeneca And Daiichi Sankyo To Jointly Commercialise MOVANTIK In The US,['AstraZeneca And Daiichi Sankyo To Jointly Commercialise MOVANTIK'],MOVANTIK,0.454,['Corporate/Sales/Partnership']
101,Legal & General arm buys 50 pct stake in MediaCityUK in Manchester,['Legal & General arm buys 50 pct stake in MediaCityUK'],MediaCityUK,0.379,['Stock/Signal/Buy Signal']
102,Randgold profit hit by poor gold price but dividend still increases,['dividend still increases'],Rangold,-0.052,['Corporate/Dividend Policy']
103,"CompaniesTravis Perkins lifts dividend, earnings rise 15%","['lifts dividend,']",Travis Perkins,0.494,['Corporate/Dividend Policy']
104,Market Report: Aviva tops the market as traders approve of its choice of Friends,['Aviva tops the market'],Friends,0.443,['Market/Market/Market Trend']
105,Insurer Old Mutual picks Standard Bank's Hemphill as new CEO,['picks Standard Bank's Hemphill as new CEO'],Standard Bank,0.025,['Corporate/Appointment/Executive Appointment']
106,"FDA panel backs safety updates for AstraZeneca, Takeda drugs",['backs safety updates for AstraZenec'],AstraZeneca,0.143,['Corporate/Regulatory']
107,"FDA panel backs safety updates for AstraZeneca, Takeda drugs","['FDA panel backs safety updates for AstraZeneca,']",Takeda,-0.198,['Corporate/Regulatory']
108,CompaniesDiageo stays neutral on India boardroom turmoil,['India boardroom turmoil'],Diageo,0,['Corporate/Risks']
109,Germanwings disaster will not affect image of budget air travel - easyJet,['will not affect image of'],Germanwings,-0.046,['Corporate/Reputation']
110,Germanwings disaster will not affect image of budget air travel - easyJet,['will not affect image of budget air trave'],easyJet,0.096,['Corporate/Reputation']
111,Shell's $70 Billion BG Deal Meets Shareholder Skepticism,['Deal Meets Shareholder Skepticism'],Shell,-0.345,['Corporate/Rumors/Rumors']
112,Shell offers 50 percent premium to buy BG for $70 billion,['offers 50 percent premium to buy'],Shell,0.193,['Corporate/M&A/M&A']
113,WPP boosts sales despite cautious clients,['boosts sales'],WPP,0.251,['Corporate/Sales']
114,Shell to buy BG Group in $69.7 billion takeover,['buy BG Group in $69.7 billion takeover'],Shell,0.25,['Corporate/M&A/M&A']
115,LONDON MORNING BRIEFING: HSBC And Standard Chartered Shares Rise,['Shares Rise'],Standard Chartered,0.556,['Stock/Price Action/Bullish/Bullish Behaviour']
116,UPDATE 1-BP shareholders back more disclosure on climate change risks,['shareholders back more disclosure on climate change risks'],BP,0.037,['Corporate/Risks']
117,Shell challenges Exxon dominance with 47 billion-pound bid for BG,['challenges Exxon dominance with 47 billion-pound bid for BG'],Exxon,-0.196,['Corporate/Strategy/Corporate Expansion']
118,Shell challenges Exxon dominance with 48 billion-pound bid for BG,['challenges Exxon dominance with 47 billion-pound bid for BG'],Shell,0.078,['Corporate/Strategy/Corporate Expansion']
119,Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,['Royal Dutch Shell to Buy BG Group for Nearly $70 Billion'],Royal Dutch Shell,0.259,['Corporate/M&A/M&A']
120,City spirits sink after Diageo comes up short with sales slide,['omes up short with sales slide'],Diageo,-0.521,['Corporate/Sales']
121,Diageo receives reports from United Spirits on financial irregularities involving ...,['United Spirits on financial irregularitie'],Diageo,-0.255,['Corporate/Reputation']
122,Diageo receives reports from United Spirits on financial irregularities involving ...,['on financial irregularities involving ..'],United Spirits,-0.272,['Corporate/Reputation/Scoop']
123,Rolls-Royce Wins $9.2 Billion Order From Emirates Airline,['Wins $9.2 Billion Order From Emirates Airline'],Rolls-Royce,0.777,['Corporate/Sales/Deal']
124,Tesco sales rise shows tentative recovery continues,['sales rise'],Tesco,0.256,['Corporate/Sales']
125,Diageo sales disappoint as currency and comparatives leave bitter taste,['sales disappoint'],Diageo,-0.545,['Corporate/Sales']
126,AstraZeneca profit down as sales of stalwarts fade,['as sales of stalwarts fade'],AstraZeneca,-0.405,['Corporate/Sales']
127,"Whitbread Profit Up As Sales Continue To Rise, Looking For New CEO",['Profit Up As Sales Continue To Ris'],Whitbread,0.385,['Corporate/Sales']
128,Glencore blames rivals for creating metals glut,['blames rivals'],Glencore,-0.331,['Corporate/Risks']
129,Doubts grow over GlaxoSmithKline's $6 bln capital return plan,['$6 bln capital return plan'],GlaxoSmithKline,-0.221,['Corporate/Dividend Policy']
130,easyJet leads Britain's FTSE lower as global bond rout resumes,['leads Britain's FTSE lower'],easyJet,-0.495,['Market/Volatility']
131,Imperial Tobacco Adds Quarterly Dividends After Profit Rose,['Quarterly Dividends'],Imperial Tobacco,0.336,['Corporate/Dividend Policy']
132,BG Group Still Happy With Shell's $70 Billion Offer,['BG Group Still Happy With Shell's $70 Billion Offer'],Shell,0.235,['Corporate/M&A/Proposed Merger']
133,SABMiller buys Meantime to quench thirst for craft beer,['buys Meantime'],SABMiller,0.296,['Corporate/M&A/Proposed Merger']
134,Aviva shuts Friends Life head office in rapid integration move,['shuts Friends Life head office in rapid integration move'],Friends Life,-0.09,['Corporate/Strategy/Corporate Expansion']
135,Retailers Kingfisher and Sports Direct rise in Britain's share index,['rise in Britain's share index'],Sports Direct,0.459,['Stock/Technical Analysis/Trend/Trending up']
136,"GlaxoSmithKline targets growth across units, scraps ViiV IPO",['scraps ViiV IPO'],GlaxoSmithKline,0.229,['Stock/IPO']
137,Tesco share price closes higher as two more directors leave grocer,['share price closes higher'],Tesco,0.354,['Stock/Price Action']
138,Tesco leads FTSE higher on Clubcard bid reports,['Clubcard bid reports'],Tesco,0.453,['Corporate/Rumors']
139,Eli Lilly & Co. (LLY) Has Broken Out To A New High On AstraZeneca Collaboration,['Has Broken Out To A New High'],Eli Lilly & Co,0.516,['Stock/Technical Analysis/Volume/Unusually high volume']
140,"RPT-Old Mutual Q1 gross sales beat forecasts, up 18 pct",['gross sales beat'],Old Mutual,0.724,['Corporate/Sales']
141,"UPDATE 3-BP settles oil spill-related claims with Halliburton, Transocean",['settles oil spill-related claims'],BP,-0.121,['Corporate/Legal/Settlement']
142,"UPDATE 4-BP settles oil spill-related claims with Halliburton, Transocean",['settles oil spill-related claims with'],Halliburton,-0.042,['Corporate/Legal/Settlement']
143,GlaxoSmithKline share price slips as FDA okays asthma therapy only for adults,['share price'],GlaxoSmithKline,-0.408,['Stock/Price Action']
144,Glencore chief blames rivals' overproduction for share price fall,['share price fall'],Glencore,-0.301,['Stock/Price Action']
145,"Philip Morris, BAT Sue Over Law Taking Branding Off Packs",['Sue Over Law Taking Branding Off Packs'],BAT,-0.152,['Corporate/Legal/Lawsuit']
146,"Philip Morris, BAT Sue Over Law Taking Branding Off Packs",['BAT Sue Over Law Taking Branding Off Packs'],Philip Morris,-0.152,['Corporate/Legal/Lawsuit']
147,Hargreaves Lansdown share price falls as costs mount - although pensions ...,['share price falls'],Hargreaves Lansdown,-0.514,['Stock/Price Action']
148,"PRESS: Serco Set To Appoint Roy Gardner, Ex-Centrica, As Chairman - FT","['Set To Appoint Roy Gardner, Ex-Centrica, As Chairman - FT']",Centrica,0.195,['Corporate/Appointment']
149,"PRESS: Serco Set To Appoint Roy Gardner, Ex-Centrica, As Chairman - FT","['Set To Appoint Roy Gardner, Ex-Centrica, As Chairman']",Serco,0.122,['Corporate/Appointment/Executive Appointment']
150,UPDATE 1-Cypress Semiconductor offers to buy Integrated Silicon Solution,['Semiconductor offers to buy Integrated Silicon Solution'],Integrated Silicon Solution,0.461,['Stock/Signal/Buy Signal']
151,"UPDATE 1-Nomura, RBS must pay $806 mln in mortgage bond case-US judge",['RBS must pay $806 mln in mortgage bond case-'],RBS,-0.69,['Corporate/Legal/Settlement']
152,MillerCoors Board Names Gavin Hattersley Interim CEO,['Board Names Gavin Hattersley Interim CEO'],MillerCoors,0,['Corporate/Appointment']
153,"Britain's FTSE gains, Land Securities up after dividend hike",['after dividend hike'],Land Securities,0.549,['Corporate/Dividend Policy']
154,"Britain's FTSE bounces back, Mondi and Barratt lead",['Mondi and Barratt lead'],Barratt,0.558,['Stock/Price Action']
155,"Britain's FTSE bounces back, Mondi and Barratt lead",['Britain's FTSE bounces back'],Mondi,0.552,['Stock/Price Action']
156,Old Mutual First-Quarter Sales Up 18% Buoyed by Emerging Markets,['Sales Up 18%'],Old Mutual,0.689,['Corporate/Sales']
157,Do it for me' trend underpins UK sales growth at Kingfisher,['UK sales growth'],Kingfisher,0.304,['Corporate/Sales']
158,"Aldi and Lidl expansion plans speed ahead as Tesco, Sainsbury's, Morrisons ...",['Aldi and Lidl expansion'],Lidl,0.372,['Corporate/Strategy/Corporate Expansion']
159,"Centrica extends gas deals with Gazprom, Statoil",['extends gas deals'],Gazprom,0.199,['Corporate/Sales/Deal']
160,"Centrica extends gas deals with Gazprom, Statoil",['extends gas deals'],Statoil,0.239,['Corporate/Sales/Deal']
161,"Aberdeen AM posts H1 outflows, says conditions to remain challenging",['says conditions to remain challenging'],Aberdeen AM,-0.364,['Market/Conditions']
162,Severn Trent share price jumps as Canadian investor renews pursuit of utility,['share price jumps'],Severn Trent,0.433,['Stock/Price Action']
163,New Morrisons duo get former boss's support to diffuse investor tension,['diffuse investor tension'],Morrisons,0.143,['Corporate/Risks']
164,S&P downgrades Barclays and RBS on government bailout fears,['downgrades Barclays and RBS'],RBS,-0.53,['Stock/Coverage/AnalystRatings/downgrade']
165,Irish housebuilder Cairn Homes plans London listing,['London listing'],Cairn Homes,0.189,['Stock/IPO']
166,Arm slammed by handset sales outlook,['sales outlook'],Arm,-0.41,['Corporate/Sales']
167,CompaniesLSE adds ex-SEC head Schapiro to board,['adds ex-SEC head Schapiro to board'],LSE,0.076,['Corporate/Appointment']
168,Sales boost for new Morrisons chief David Potts as Tesco turnaround stalls,['Sales boost'],Tesco,-0.41,['Corporate/Sales/Sales']
169,FTSE 100 flat; Standard Chartered leads risers,['flat; Standard Chartered leads risers'],Standard Chartered,0.589,['Stock/Price Action']
170,CompaniesHoward Davies appointment as RBS director delayed,['appointment as RBS director delayed'],RBS,-0.025,['Corporate/Appointment']
171,Keith Skeoch to step up as David Nish quits as chief executive of Standard Life,['David Nish quits as chief executive'],Standard Life,-0.09,['Corporate/Appointment']
172,Dixons Carphone profit boost on strong sales,['profit boost on strong sales'],Dixons Carphone,0.478,['Corporate/Sales']
173,"FTSE rallies off three-month low, boosted by StanChart, Sainsbury",['rallies off three-month low'],Sainsbury,0.334,['Stock/Price Action']
174,"FTSE rallies off three-month low, boosted by StanChart, Sainsbury",['rallies off three-month low'],StanChart,0.465,['Market/Market/Market Outlook']
175,"Royal Mail, Johnson Matthey lead FTSE lower",['lead FTSE lower'],Royal Mail,-0.438,['Market/Market/Market Trend']
176,Sainsbury sales slip again as price pressures take a toll,['pressures take a toll'],Sainsbury,-0.303,['Stock/Price Action']
177,Sophos aims to raise $100m in London IPO,['raise $100m in London IPO'],Sophos,0.214,['Stock/IPO']
178,UPDATE 3-Stifel to buy former Lehman brokerage from Barclays,['Stifel to buy former Lehman brokerage'],Lehman,0.164,['Corporate/M&A/Proposed Merger']
179,Borealis Infrastructure putting together new Severn Trent bid,['putting together new Severn Trent bid'],Severn Trent,0.214,['Corporate/M&A/Proposed Merger']
180,"FTSE falls to 3-month low on Greek debt concerns, easyJet skids",['Greek debt concerns'],easyjet,-0.414,['Corporate/Risks']
181,Johnson Matthey share price slumps as company posts full-year results,['share price slumps'],Johnson Matthey,-0.626,['Stock/Price Action']
182,UPDATE: Barclays Expects Gain After Settling With Lehman Bros Trustee,['After Settling With Lehman Bros Trustee'],Barclays,0.199,['Corporate/Legal']
183,UPDATE: Barclays Expects Gain After Settling With Lehman Bros Trustee,['Expects Gain'],Lehman,0.239,['Corporate/Legal/Settlement']
184,Petrofac books further Â£30m cost for Shetland gas terminal delays,['books further Â£30m cost for Shetland gas terminal delays'],Petrofac,-0.343,['Corporate/Risks']
185,Petrofac share price rises despite Â£30m costs on North Sea project,['share price rise'],Petrofac,0.09,['Stock/Price Action']
186,Whitbread boss Andy Harrison defends sales fall as 'just a blip',['defends sales fall as 'just a blip''],Whitbread,-0.1,['Corporate/Sales']
187,Barclays share price subdued as bank faces fresh forex probe,['share price subdued'],Barclays,-0.373,['Stock/Price Action']
188,CompaniesActelion shares hit record on Shire takeover talk,['Shire takeover talk'],Actelion,0.721,['Corporate/Rumors']
189,CompaniesActelion shares hit record on Shire takeover talk,['Shire takeover talk'],Shire,0.345,['Corporate/Rumors/Rumors']
190,LSE gets Hong Kong regulatory nod to HK firms to become LSE members,['LSE gets Hong Kong regulatory nod'],LSE,0.247,['Corporate/Regulatory']
191,Diageo Shares Surge on Report of Possible Takeover by Lemann,['Diageo Shares Surge'],Lemann,0.415,['Stock/Technical Analysis/Trend/Trending up']
192,RBS chairman admits surprise at size of regulatory penalties,['s surprise at size of regulatory penalties'],RBS,-0.333,['Corporate/Regulatory']
193,RSA Insurance Hires Towergate's Egan as Chief Financial Officer,['Insurance Hires Towergate's Egan as Chief Financial Officer'],Towergate,0.002,['Corporate/Appointment/Executive Appointment']
194,Johnson Matthey raises prospect of investor payout,['raises prospect of investor payout'],Johnson Matthey,0.281,['Corporate/Dividend Policy']
195,InterContinental Hotels Denies Reports of Starwood Merger Talks,['Denies Reports of Starwood Merger Talks'],Starwood,-0.078,['Corporate/Rumors/Scoop']
196,REFILE-Hikma and Barclays help Britain's FTSE to climb higher,['help Britain's FTSE to climb higher'],Hikma,0.452,['Market/Market/Market Trend']
197,FDA Approves AstraZeneca's Iressa As Lung Cancer Treatment,['FDA Approves AstraZeneca's Iressa'],AstraZeneca,0.42,['Corporate/Regulatory']
198,AstraZeneca suffers setback after drug fails to treat eye cancer,['suffers setback'],AstraZeneca,-0.392,['Corporate/Risks']
