Headlines,Time,Description
Cramer Remix: Boeing is a better bet than bitcoin,2018-01-11,Jim Cramer revealed what he’s recommending over the cryptocurrency.
"Cramer's lightning round: People might be bailing on Regeneron, but it's a buy",2018-01-11,"Jim Cramer zoomed through his take on callers' favorite stocks, including a pharmaceutical name spooking investors."
"Cramer shares 5 reasons why the retail sector is back in action, according to industry executives",2018-01-11,Jim Cramer relayed five factors driving the retail cohort back into Wall Street's good graces.
Cramer explains the nonsensical action in oil and airline stocks,2018-01-11,"Jim Cramer pointed out the contradictory action in oil prices and airline stocks, two related sectors benefiting from the bull market."
Cramer prepares investors for the big banks' Friday earnings reports,2018-01-11,"Jim Cramer told investors what to pay attention to in J.P. Morgan, Wells Fargo and PNC's earnings reports."
Markets after the start of Q4 earnings season,2018-01-12,"According to Kensho, this is the place to be after the start of earnings season. "
Cramer's game plan: JP Morgan set the benchmark. Now watch the banks,2018-01-12,Jim Cramer laid out the stocks and events he'll be watching as earnings season kicks into high gear with the big banks' reports.
Cramer: 'This time it's different' can actually make you money,2018-01-12,"Jim Cramer said the success of Facebook, Amazon, Netflix and Alphabet proves why ""this time it's different"" can help you, not hurt you."
Cramer gets bullish on casino stocks like Wynn Resorts as Macau prospects improve,2018-01-12,Jim Cramer tracked the casino stocks' months-long rebound to gauge whether an improving outlook overseas could still drive their gains.
Cramer's lightning round: Estee Lauder's CEO makes this stock a beauty,2018-01-12,"Jim Cramer zipped through his take on callers' favorite stocks, including that of a cosmetics company with a top CEO."
Cramer Remix: Tuesday's the day to buy Facebook,2018-01-12,Jim Cramer offered his take on Facebook’s action in this market.
Cramer's lightning round: GoPro won't be bought for more than $1B,2018-01-16,"Jim Cramer rattled off his take on callers' favorite stocks, including a device play fielding rumors of a buyout."
Cramer Remix: The prospect of stock buybacks should calm fears of a major market decline,2018-01-16,Jim Cramer said there’s one thing that this market needs to do to curb the major stock shortage facing investors.
"Cramer's charts suggest Amazon, Alphabet, Netflix and Nvidia's stocks might be about to pull back",2018-01-16,Jim Cramer examined the tech titans' weekly stock charts to determine if it's time for investors to take some profits.
Cramer's 5 cardinal rules of engagement with the bull market,2018-01-16,Jim Cramer gave investors several key guidelines for maneuvering the bull market in beast mode.
Cramer reveals the biggest winners and losers from the JP Morgan Healthcare Conference,2018-01-16,Jim Cramer listed the J.P. Morgan's Healthcare Conference's best and worst performers judging by the stock market's reaction.
Weeden:  What's different in this market today than a few weeks or months ago?,2018-01-17,"Michael Purves of Weeden says if rates and inflation accelerate, the markets could explode in the first half of the year, but decline in the second half."
Cramer calls Apple's $350 billion investment in the US economy a 'modern-day Marshall Plan',2018-01-17,Jim Cramer interviewed Apple CEO Tim Cook after his company's pledge to contribute $350 billion to the U.S. economy.
Cramer remains confident on most major banks after earnings,2018-01-17,"Jim Cramer reiterated his bullishness on J.P. Morgan, Citigroup and Bank of America after a flurry of earnings reports from the big banks."
Top energy executive says natural gas industry will need $150 billion of infrastructure investment,2018-01-17,"Jim Cramer sat down with natural gas guru Charif Souki, who shared his outlook on the future of natural gas exploration."
Cramer's lightning round: I prefer Disney to Twenty-First Century Fox,2018-01-17,"Jim Cramer flew through his take on callers' favorite stocks, including an entertainment play making headlines."
"IBM executive says blockchain 'creates a lot of value' for manufacturers, retailers",2018-01-18,"Jim Cramer spoke with IBM's Martin Schroeter after earnings to hear his take on blockchain, bitcoin and the new tax law."
"Cramer tracks 4 growing market discrepancies: Rates, Trump, cryptocurrencies and stocks",2018-01-18,Jim Cramer tapped into four conflicting arguments in the stock market that are dominating the tape.
Cramer Remix: How I decide which retailers are not buyable,2018-01-18,Jim Cramer explained how he uses his shopping experiences to help determine which retailer stocks are not worth buying.
"WWE is a 'data powerhouse' thanks to content, growth and digital, CFO says",2018-01-19,Jim Cramer sat down with WWE CFO George Barrios to understand how the company continues to captivate its massive audience.
Cramer Remix: The real  Eild card Ebehind soaring retail revenues,2018-01-19,Jim Cramer detailed how ramped-up consumer spending is bolstering the retail sector beyond what tax reform can do.
Cramer: I've never seen a market like this in my life,2018-01-19,Jim Cramer said an overload of buyers in the stock market is resulting in dramatically rising stock prices.
Cramer's lightning round: Hormel's one of the few food stocks I like,2018-01-19,"Jim Cramer zoomed through his take on callers' favorite stocks, including one food stock with good growth prospects."
Cramer: The Amazon Prime rate bump is a clarion call to buy the stock,2018-01-19,"Jim Cramer explained why buying shares of Amazon, Netflix and Costco when they raise their subscription prices is a winning strategy."
Cramer's lightning round: Buy Cisco before its quarterly earnings report,2018-01-19,"Jim Cramer shared his take on callers' favorite stocks, including a high-profile tech name about to report earnings."
Cramer's game plan: Watch these stocks as earnings season kicks into high gear,2018-01-20,Jim Cramer advised investors on stocks to watch as earnings season begins in earnest and companies guide toward tax reform benefits.
Cramer's lightning round: Stick with Splunk for an investment in the cloud,2018-01-22,"Jim Cramer zipped through his take on callers' favorite stocks, including an under-the-radar cloud giant."
Cramer Remix: ADT's IPO was the latest insult to this market,2018-01-22,Jim Cramer broke down why he thinks the IPO market has been slim pickings amidst the current bull market.
'Shark Tank's' Daymond John: Being selfish is a key to success,2018-01-22,"Jim Cramer sat down with ""Shark Tank"" investor and FUBU chief Daymond John to hear about his latest book and favorite market trends."
Cramer Remix: My advice for Lloyd Blankfein on cryptocurrencies,2018-01-22,Jim Cramer revealed why cryptocurrency could be key for Goldman Sachs.
Cramer: Blink and you'll miss this market's windows of opportunity,2018-01-22,Jim Cramer stressed the importance of buying stocks on weakness and pinpointed the small moments investors get to buy in.
Cramer's guide to investing in the stock market's winning sectors,2018-01-22,"Jim Cramer did a deep dive into the market's strongest sectors, including tech and the banks, to find the best investments in each space."
The regular investor can now trade the stock market 24 hours a day,2018-01-22,Traders on the TD Ameritrade platform are now able to buy and sell shares of ETFs like the SPDR S&P 500 (SPY) at any time of the day.
Market performance after the government reopens,2018-01-23,"Since 1980 the government has shut down 12 times. Two weeks after it reopens for business stocks tend to perform well, with the Dow and S&P each gaining 3%"
'Rocket fuel' from tax cuts will continue to drive US markets,2018-01-23,"Robert Lutts of Cabot Wealth Management says stocks can still move higher with the S&P 500 reaching 3,150."
Cramer: Check your bias at the door with stocks like Facebook and P&G,2018-01-23,Jim Cramer argued against selling high-quality stocks because of negative news and told investors to break the weak-handed habit.
"Cramer: With speculators the most bullish in history, charts show oil prices could soon peak",2018-01-23,Jim Cramer drilled down on the oil patch with help from technician Carley Garner to check the strength of crude prices.
Cramer's lightning round: Buy HP Inc. despite Morgan Stanley's downgrade,2018-01-23,"Jim Cramer shared his take on callers' favorite stocks, including a recently downgraded technology play."
Cramer Remix: Netflix's recent run makes me upset,2018-01-23,"Jim Cramer was happy about the Netflix quarter, but bummed that it could have been acquired a very long time ago."
"Top consumer tech CEO shares top 3 growth drivers: Location, innovation and diversification",2018-01-24,"Jim Cramer sat down with Logitech CEO Bracken Darrell to speak about the consumer, e-commerce and the tech company's latest products."
"Barstool Sports CEO Erika Nardini: There is nothing this cult-like, male-focused media brand can’t do",2018-01-24,"Jim Cramer sat down with Barstool Sports' founder, Dave Portnoy, and CEO, Erika Nardini, to discuss the controversial brand's rise to power."
Cramer unpacks the wild action in a 'new' kind of market—one with 3 trading sessions a day,2018-01-24,"Jim Cramer adopted a new view of the stock market, which had a monster rally and a treacherous dive all in one trading day."
"Cramer: Contrary to popular belief, now is a good time to buy consumer goods stocks",2018-01-24,Jim Cramer made the bull case for buying consumer packaged goods stocks Procter & Gamble and Kimberly-Clark in this environment.
Cramer's lightning round: US Concrete could go higher because of state spending,2018-01-24,"Jim Cramer rattled off his take on callers' favorite stocks, including an infrastructure play."
"Head of esports scholarship program is bullish on competitive gaming, but not with games like NBA 2K",2018-01-26,Jim Cramer sits down with UC Irvine's Acting Director of esports Mark Deppe to hear about how competitive gaming is coming to colleges.
Cramer says the market's other FANG is a great growth play on oil,2018-01-26,Jim Cramer taps Diamondback Energy as one of the best ways to play crude oil's price recovery.
Cramer's lightning round: I would not sell Valeant right now,2018-01-26,"Jim Cramer flew through his take on callers' favorite stocks, including a pharmaceutical play undergoing a turnaround."
Cramer Remix: My loneliest defense of Apple yet,2018-01-26,Jim Cramer revealed why he still believes in Apple’s ability to head higher.
Cramer weighs in on the stock of Wynn Resorts after misconduct allegations,2018-01-29,"Jim Cramer estimates the future of Wynn Resorts after its CEO, Steve Wynn, was accused of sexual misconduct."
"Cramer's lightning round: Prudential's not Metlife, but watch out for pin action",2018-01-29,"Jim Cramer zoomed through his take on callers' favorite stocks, including an insurance play."
Cramer Remix: Why Apple’s stock has been set up to fail,2018-01-29,"Jim Cramer still says to hold Apple, not trade it, but shares why he feels indifferent to its upcoming quarter."
Daryl Guppy takes a look at the S&P 500,2018-01-29,"Daryl Guppy of Guppytraders.com sees strong support around 2,700 for the S&P 500 and advises to wait on Apple."
Cramer Remix: The 115-year-old 3M is still getting it right,2018-01-29,Jim Cramer reveals why 3M is an oldie but a goodie.
Cramer: Use the earnings 'damage' to your advantage this week,2018-01-29,Jim Cramer advises investors on how to use their cash wisely during a volatile week of earnings.
Goldman Sachs sees 'high probability' of a stock market correction in the coming months,2018-01-29,"Goldman Sachs believes ""correction signals are flashing"" and is advising its clients to prepare for a correction."
Cramer's game plan: Welcome to the Super Bowl of earnings,2018-01-29,"Jim Cramer looks ahead to a major earnings week with the likes of Boeing, Facebook and Apple set to report."
Cramer's charts forecast further gains for health care giants Centene and Cardinal Health,2018-01-29,"Jim Cramer takes to the charts with Marc Chaikin to see if shares of Centene, Cardinal Health and Amgen have more room to run."
Cramer says Centene is the way to play the Amazon-Berkshire-JP Morgan health care move,2018-01-30,"Jim Cramer advises investors on how to act after Amazon, Berkshire Hathaway and J.P. Morgan announced a joint foray into health care."
Top steel CEO says US 'desperately' needs new infrastructure to sustain economic boom,2018-01-30,Jim Cramer speaks to Nucor Chairman and CEO John Ferriola about Chinese steel dumping and President Donald Trump's agenda.
Cramer bullish on Dr Pepper-Keurig deal despite Wall Street's tepid response,2018-01-30,"Jim Cramer lists the benefits of the Dr Pepper Snapple-Keurig Green Mountain deal, zeroing in on Keurig CEO Bob Gamgort's track record."
Cramer's lightning round: AT&T's cash flow could get a boost,2018-01-30,"Jim Cramer zipped through his take on callers' favorite stocks, including a telecommunications play in merger talks."
"Cramer Remix: Amazon knocked Walgreens and UnitedHealth down, but they’ll get back up again",2018-01-30,Jim Cramer predicts how stocks like Walgreens and United Health will fare in light of the Amazon health-care development.
Cramer Remix: AbbVie and Biogen are the best-in-show biotechs for 2018 so far,2018-01-31,Jim Cramer breaks down his take on the biotech pullback and which two he thinks could be top performers.
Cramer's rigorous guide for investing during market volatility,2018-01-31,Jim Cramer lists the secular growth themes worth buying on days when the market takes dramatic swings.
Cramer suggests 6 State of the Union stock picks,2018-01-31,Jim Cramer analyzes the president's State of the Union address to find the best stocks to buy off the rhetoric.
Cramer's lightning round: Take a long-term view on Johnson & Johnson,2018-01-31,"Jim Cramer shares his take on callers' favorite stocks at lightning speed, including one pharmaceutical play under pressure."
Cramer's lightning round: S&P Global's stock is 'nothin' but net',2018-02-01,"Jim Cramer rattles off his take on callers' favorite stocks, including a financial technology name."
Cramer Remix: How you should approach Alphabet’s earnings,2018-02-01,Jim Cramer reveals why he still believes in Alphabet.
"With gasoline exports on the rise, refinery CEO sees global demand increasing in 2018",2018-02-01,Jim Cramer sits down with Marathon Petroleum Chairman and CEO Gary Heminger to discuss global energy trends and President Donald Trump.
"Cramer tackles Facebook, Apple, Amazon and Alphabet earnings as tech giants report",2018-02-01,"Jim Cramer analyzes earnings reports from Facebook, Apple, Amazon and Alphabet."
"ADP CEO calls Ackman proxy fight 'water under the bridge,' says two have 'professional' relationship",2018-02-01,Jim Cramer sits down with ADP President and CEO Carlos Rodriguez to follow up on some activist aftermath and discuss employment trends.
"Cramer pinpoints 4 stocks 'on a mission' to higher prices: Boeing, Mastercard, Idexx and Nvidia",2018-02-01,"Jim Cramer predicts that shares of Boeing, Mastercard, Idexx Laboratories and Nvidia could all hit lofty price targets in the near future."
Cramer's guide to the sell-off: 'It's not the end of the world',2018-02-02,"Jim Cramer walks investors through the market sell-off, how they should approach the action and what to buy."
"Cramer's second take on Apple, Alphabet and Amazon after the sell-off",2018-02-02,Jim Cramer takes a second look at the tech titans' stocks after their Thursday evening earnings reports and Friday's market drop.
Cramer on Fed's Wells Fargo move: I don't think bank stocks could get a worse piece of news,2018-02-02,Jim Cramer reacts to the Federal Reserve's call for Wells Fargo to gut its executive board and restriction on the bank's assets.
"Cramer's lightning round: Shopify's doing well, but you shouldn't buy it",2018-02-02,"Jim Cramer flies through his take on callers' favorite stocks at lightning speed, including an e-commerce play."
"Cramer Remix: The market is about to get harder, but not impossible to navigate",2018-02-02,Jim Cramer puts Friday’s brutal action into perspective and helped investors tackle the sell-off.
Cramer Remix: The 5 events that triggered the massive sell-off,2018-02-05,Jim Cramer uncovers the mechanics driving the velocity and impact of the market’s recent turmoil.
Cramer's lightning round: Tableau Software is exactly the kind of stock I want to buy,2018-02-05,"Jim Cramer zooms through his take on callers' favorite stocks, including a ripe-for-the-picking data play."
Cramer's sell-off strategy: Spotting the market's bottom,2018-02-05,Jim Cramer prepares investors for the stock market's intraday gyrations.
Traders nervously eyeing retail investors for next shoe to drop,2018-02-05,"Sellers are not yet exhausted, and buyers are not yet enthusiastic about the lower prices."
Cramer's 6 reasons for why this sell-off makes sense,2018-02-05,Jim Cramer lists the drivers behind the sell-off and explains why it's more of a short-term reset than a long-term catastrophe.
Cramer: Stop yourself from panicking and find the sell-off's opportunities,2018-02-05,Jim Cramer helps investors navigate the stock market's huge intraday decline by spotting buying opportunities and resilient stocks.
JP Morgan analyst Kolanovic: ‘The worst is over',2018-02-06,"The worst may be over for market volatility, says J.P. Morgan analyst. Now could be a good time to buy. "
Cramer Remix: Here's the real reason the market had such an aggressive snap-back,2018-02-06,Jim Cramer dissects the action behind the averages and uncovers the reason for a wild trading session.
Cramer's lightning round: UnitedHealth is my go-to health care stock,2018-02-06,"Jim Cramer shares his take on callers' favorite stocks at lightning speed, including his go-to health-care play."
Cramer's charts show FANG stocks can stabilize amid market volatility,2018-02-06,"Jim Cramer reviews the charts of Facebook, Amazon, Netflix and Alphabet's stocks to see if they can weather the Dow drop."
Cramer tracks Apple's rebound after lackluster quarter and several-day sell-off,2018-02-06,"Jim Cramer revisits Apple's latest quarter and says its stock is a ""buy"" despite Wall Street's negative commentary."
This technical analyst sees a new high for the S&P 500,2018-02-06,John Bollinger of Bollinger Capital says the charts point to the S&P 500 testing new highs.
Four things to watch for a market bottom,2018-02-06,Bob Pisani breaks down what traders are watching to mark that this sell-off is finally over.
"Market sell-off is an 'overdue and welcome' correction, top fund manager says",2018-02-06,"Martin Gilbert, the co-CEO of multi-billion dollar fund Standard Life Aberdeen, says investors should calm down and believes the recent fall in stock markets is just a long overdue correction."
Investment strategist: Here's what to buy during the dip,2018-02-06,The stock market's continued volatility is a great chance to buy. Here's what one investment strategist suggests.
Cramer rails against 'reckless' volatility trading products: They are 'practically designed to fail',2018-02-07,"Jim Cramer reviews the market sell-off, focusing on the volatility trading that he says accelerated the losses."
Cramer's lightning round: Buy Target on its revamped strategy,2018-02-07,"Jim Cramer zips through his take on callers' favorite stocks, including that of a retailer that is upgrading its wares."
Hasbro CEO deflects question on Mattel talks: 'We first and foremost are investing in our business',2018-02-07,"Jim Cramer checks in with Brian Goldner, the chairman and CEO of Hasbro, after earnings to vet takeover rumors."
Cramer Remix: I'd recommend Snap over Twitter,2018-02-07,Jim Cramer weighs in on the social media stocks and why he prefers Snap at a discount.
"Cramer gets bullish on Snap after latest quarter, compares stock to Facebook's early days",2018-02-07,"Jim Cramer changes his opinion on Snap, likening the social media company's latest quarter to the early days of competitor Facebook."
"When the market tanks, it pays to stay invested",2018-02-07,Fluctuations demonstrate the resilience of the stock market.
"Cramer: Buy Lockheed Martin, Raytheon and Harris if Congress ups defense spending",2018-02-07,"Jim Cramer recommends Lockheed Martin, Raytheon and Harris as stocks to buy for their strong prospects and favorable economic conditions."
VONG could outperform S&P after 5% drop,2018-02-08,"According to Kensho, the VONG tends to outpace the S&P after a 5% drop."
This technical analyst says the S&P 500 drop was in the charts,2018-02-08,"The technical indicators for the S&P 500 pointed to ""warning signs,"" says Brandon Wendell of the Online Trading Academy."
"As market sell-off intensifies, a search for who, or what, to blame",2018-02-08,"As the Dow falls another 1,000 points for the second time in a week, people are searching for answers, ad for signs of a bottom."
Cramer: This market is seeing 'a similar version' of what sparked the 2008 financial crisis,2018-02-08,Jim Cramer explains how the market-wide sell-off is being exacerbated by obscure volatility trading vehicles.
Cramer: 4 volatility trading instruments are the 'real culprits' behind this week's market meltdown,2018-02-08,"Jim Cramer lists four volatility trading instruments that are the ""real culprits"" behind the market-wide sell-off."
"Cramer explains the rapid sell-off: 'When the market’s not trustworthy, no one buys'",2018-02-08,Jim Cramer considers the effect of bonds on the stock market's multi-day decline and explains why investors will hesitate to buy in.
Cramer's lightning round: Here's my playbook if you want to invest in oil,2018-02-08,"Jim Cramer rattles off his take on callers' favorite stocks, including the stock of Hess."
Cramer Remix: Your strategy for the stock of Nvidia in a volatile market,2018-02-08,Jim Cramer breaks down his thoughts on Nvidia after earnings.
Cramer Remix: Bonds could trigger a new wave of selling next week,2018-02-09,Jim Cramer reveals what could bring another decline next week.
Cramer Remix: What could trigger a new wave of selling next week,2018-02-09,Jim Cramer reveals what could bring another decline next week.
3M CEO on how the Scotch Tape maker plans to seize on the $6 billion electric car market,2018-02-09,Jim Cramer sits down with 3M Chairman and CEO Inge Thulin to discuss the multinational manufacturer's array of forward drivers.
Dow's 10 biggest sell-off losers,2018-02-09,Jim Cramer finds bull and bear cases in the Dow Jones industrial average's biggest losers from the week's sell-off.
Cramer reviews the Dow's 10 biggest losers during the sell-off,2018-02-09,Jim Cramer finds bull and bear cases in the Dow Jones industrial average's biggest losers from the week's sell-off.
Cramer reviews the Dow's 10 biggest losers during the sell-off,2018-02-09,Jim Cramer finds bull and bear cases in the Dow Jones industrial average's biggest losers from the week's sell-off.
Cramer's game plan: No common stock is safe until the volatility bets unravel,2018-02-09,Jim Cramer looks ahead to key stocks and events investors should watch next week as the stock market lifts from its lows.
Cramer's lightning round: You're getting an opportunity in Amazon,2018-02-09,"Jim Cramer tears through his take on callers' favorite stocks, including a lower-than-usual e-commerce play."
What to expect after the S&P drops 10% in a week,2018-02-12,"The markets tend to snap back a month after a correction, with the S&P 500 up six-percent."
Janney:  Markets came into 2018 extremely overbought,2018-02-12,Dan Wantrobski of Janney Montgomery Scott says the fact we've seen profit-taking to reduce some of the froth in the market is healthy for the long-term.
Following big surprises in CPI,2018-02-14,"Our data partners at Kensho profiling what happens after a CPI surprise after the one we saw today. A month later the Dow, S&P and consumer discretionary stocks are up 100% of the time with big returns. A similar part for the tech sector. "
"Banks promote volatility spikes as buying opportunities, pointing to tech and financials",2018-02-14,"The era of super-low volatility is over. But that presents opportunities of its own, according to several banks.  "
Markets post gains after CPI surprise,2018-02-15,"According to Kensho, a surprise in CPI numbers tends to send these major indexes higher."
Top stock exchange CEO urges caution over profit on controversial volatility products,2018-02-19,"On issuing complex investment products like exchange-traded notes, it’s better to be safe than sorry, says Euronext CEO Stephen Boujnah. "
"Market sell-offs 'tend to happen in three waves' and the last one is coming, strategist warns",2018-02-21,"The recent sharp pullback and volatility in global equity markets is not yet over, according to the chief executive of Longview Economics."
